NAME,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,state,YEAR
Alabama,4633360,3256941,1209938,22969,46655,2025,38342,56490,4421,52069,01,2009
Alaska,683142,467650,25161,91939,31878,4269,11613,50632,2811,47821,02,2009
Arizona,6324865,4906936,227282,284265,153301,11045,577781,164255,51463,112792,04,2009
Arkansas,2838143,2228798,439355,19233,31120,2505,67135,49997,4819,45178,05,2009
California,36308527,22258042,2249404,283031,4473292,132535,5639234,1272989,383694,889295,06,2009
Colorado,4843211,4055379,186598,46018,125336,5030,282239,142611,32583,110028,08,2009
Connecticut,3494487,2792362,330186,8169,117515,1292,175333,69630,15240,54390,09,2009
Delaware,863832,626289,176743,2588,25084,134,18100,14894,1360,13534,10,2009
District of Columbia,588433,210983,324631,1573,17439,426,23935,9446,1308,8138,11,2009
Florida,18222420,13958847,2799699,54985,417740,9959,650124,331066,83118,247948,12,2009
Georgia,9497667,5899345,2818524,23947,268831,4988,349463,132569,23162,109407,13,2009
Hawaii,1280241,344681,30995,3781,493178,112940,16661,278005,8770,269235,15,2009
Idaho,1492573,1374465,9030,18352,16739,1827,35706,36454,5007,31447,16,2009
Illinois,12785043,9190854,1875767,23208,538728,3459,944969,208058,54719,153339,17,2009
Indiana,6342469,5436153,548998,14492,85470,1463,144281,111612,17345,94267,18,2009
Iowa,2978880,2759828,72103,9404,47092,832,46155,43466,6276,37190,19,2009
Kansas,2777835,2382407,157121,22722,60235,1614,81203,72533,10727,61806,20,2009
Kentucky,4252000,3783499,318974,8193,42896,2839,37387,58212,6013,52199,21,2009
Louisiana,4411546,2821956,1405639,24909,63304,1031,42499,52208,6417,45791,22,2009
Maine,1316380,1254176,15458,6636,12384,287,4542,22897,1327,21570,23,2009
Maryland,5637418,3433516,1625880,15394,277732,3010,167766,114120,15058,99062,24,2009
Massachusetts,6511176,5390474,399224,12811,312147,2346,271040,123134,24322,98812,25,2009
Michigan,10039208,7999359,1405515,52270,235442,2930,155524,188168,25047,163121,26,2009
Minnesota,5188581,4551190,224453,54446,186491,2297,76522,93182,8921,84261,27,2009
Mississippi,2922240,1752786,1081589,12829,24655,816,21941,27624,2688,24936,28,2009
Missouri,5904382,4955606,658633,23624,85215,4505,60948,115851,9330,106521,29,2009
Montana,956257,856153,5283,59001,6333,825,6615,22047,1747,20300,30,2009
Nebraska,1772124,1571458,72806,14966,28375,1931,49409,33179,4985,28194,31,2009
Nevada,2545763,1909349,190093,30501,157280,12409,162453,83678,15524,68154,32,2009
New Hampshire,1315419,1246855,14227,3210,24981,291,9781,16074,1731,14343,33,2009
New Jersey,8650548,6073393,1175670,19312,642436,2713,584356,152668,41479,111189,34,2009
New Mexico,1964860,1381186,43332,183098,26774,971,266414,63085,25245,37840,35,2009
New York,19423896,13031404,3024739,64950,1319787,5378,1619137,358501,103036,255465,36,2009
North Carolina,9045705,6375420,1909832,101986,173320,4716,328726,151705,20691,131014,37,2009
North Dakota,639725,580184,6029,34192,5312,383,4072,9553,511,9042,38,2009
Ohio,11511858,9669759,1349893,21960,173463,2870,100807,193106,20339,172767,39,2009
Oklahoma,3610073,2720673,264756,239130,57788,3565,95925,228236,12364,215872,40,2009
Oregon,3727407,3214583,64995,59700,129932,9685,124694,123818,15314,108504,41,2009
Pennsylvania,12516596,10482799,1300350,16740,296150,3026,249145,168386,25894,142492,42,2009
Rhode Island,1057381,875224,57658,4520,29067,257,69487,21168,5521,15647,44,2009
South Carolina,4416867,2977453,1245855,13825,53258,2130,65895,58451,5985,52466,45,2009
South Dakota,796513,693239,7547,66667,6931,204,6974,14951,1688,13263,46,2009
Tennessee,6158953,4875744,1016050,15614,82317,3116,79903,86209,10288,75921,47,2009
Texas,23819042,17111322,2738904,121241,810844,19237,2559403,458091,154662,303429,48,2009
Utah,2651816,2376805,27229,32008,52964,20531,89798,52481,9864,42617,49,2009
Vermont,620414,595731,4820,1713,6757,82,2051,9260,492,8768,50,2009
Virginia,7721730,5458832,1510139,22932,371788,5804,192534,159701,24100,135601,51,2009
